time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
29-5-2021 17:2:26,1622322146.9096396,1000.0,99.0,5612.59,2058.75,11771.61,21.4,129771667,138856124,0.0007373621669458907,0.00035056164589876594,0,0,6.540638631858924,98993,505,0,602112,49859125,771866,530.64,234.58,0.02,0.08
29-5-2021 17:2:31,1622322151.9138956,1000.0,88.6,5625.65,2064.28,11772.98,21.3,130003839,139032712,0.0004639490856052809,0.0003528756315527512,0,0,6.5138979895527775,100011,507,0,602112,49935617,774072,537.39,238.21,0.02,0.08
29-5-2021 17:2:36,1622322156.920934,1000.0,98.5,5638.73,2070.19,11773.9,21.4,130307132,139199707,0.0006057333267774678,0.0003335205128545771,0,0,6.548089268837353,101031,510,0,602112,50013204,777381,543.34,241.03,0.02,0.08
29-5-2021 17:2:41,1622322161.9241474,1000.0,84.3,5651.4,2075.8,11775.35,21.2,130629601,139377396,0.0006445237767361236,0.0003551497519589947,0,0,6.513183544911011,102049,512,0,602112,50089693,779587,549.84,244.63,0.02,0.08
29-5-2021 17:2:46,1622322166.9366798,1000.0,94.0,5663.85,2082.26,11776.19,21.4,130992118,139566272,0.0007232212498988659,0.00037680753398019464,0,0,6.473991153134065,103069,515,0,602112,50167291,782896,556.15,248.52,0.02,0.08
29-5-2021 17:2:51,1622322171.9402955,1000.0,99.7,5677.03,2088.2,11776.97,21.3,131370738,139750159,0.0007566928176031613,0.00036750824613225006,0,0,6.527064183665346,104087,517,0,602112,50243776,785100,562.25,251.81,0.02,0.08
29-5-2021 17:2:56,1622322176.949006,1000.0,96.0,5689.21,2093.77,11779.02,21.4,131660837,139920690,0.0005791889806533732,0.0003404688608364744,0,0,6.533596248961504,105107,520,0,602112,50321342,788409,567.26,254.9,0.02,0.08
29-5-2021 17:3:1,1622322181.9524434,1000.0,88.1,5701.73,2098.74,11781.32,21.3,131944477,140099287,0.0005668902877960608,0.0003569486134872129,0,0,6.484401632199815,106121,523,0,602112,50398591,791718,573.21,257.81,0.02,0.08
29-5-2021 17:3:6,1622322186.9565082,1000.0,99.0,5714.31,2105.33,11782.13,21.4,132206018,140260724,0.0005226571008552322,0.0003226117296743766,0,0,6.535127201765291,107135,526,0,602112,50475834,795027,579.15,261.47,0.02,0.08
29-5-2021 17:3:11,1622322191.9613547,1000.0,93.3,5727.52,2111.05,11783.33,21.4,132512247,140440833,0.0006118649104242752,0.00035986917356490005,0,0,6.425000663412882,108147,528,0,602112,50551968,797233,585.52,263.88,0.02,0.08
29-5-2021 17:3:16,1622322196.9690409,1000.0,94.0,5740.25,2117.48,11784.23,21.3,132880482,140630242,0.0007353396156249753,0.0003782365643024453,0,0,6.495526555907334,109161,531,0,602112,50629208,800542,592.1,267.0,0.02,0.08
29-5-2021 17:3:21,1622322201.9813776,1000.0,99.0,5753.3,2123.39,11785.08,21.3,133254767,140809159,0.000746727564587497,0.0003569532727020885,0,0,6.519001165565401,110175,534,0,602112,50706454,803851,598.59,270.4,0.02,0.08
29-5-2021 17:3:26,1622322206.9831238,1000.0,96.0,5766.94,2128.57,11786.07,21.3,133672218,140998919,0.00083461052434729,0.0003793875044020538,0,0,6.524308468618529,111193,536,0,602112,50782930,806057,605.26,273.41,0.02,0.08
29-5-2021 17:3:31,1622322211.9871552,1000.0,89.2,5780.14,2133.86,11787.52,21.4,133984902,141182219,0.000624864182038589,0.0003663046544360228,0,0,6.415304628988898,112213,539,0,602112,50860506,809366,611.55,276.08,0.02,0.08
29-5-2021 17:3:36,1622322216.993334,1000.0,96.0,5793.3,2139.64,11788.27,21.5,134248772,141353494,0.0005270886390509775,0.00034212720905542945,0,0,6.515735132917322,113233,542,0,602112,50938085,812673,617.54,280.08,0.02,0.08
29-5-2021 17:3:42,1622322222.0310311,1000.0,94.1,5806.88,2145.05,11789.29,21.3,134569945,141538901,0.0006375393262116763,0.00036803919960559656,0,0,6.5200218007679265,114251,544,0,602112,51014597,814879,624.37,283.43,0.02,0.08
29-5-2021 17:3:47,1622322227.0341568,1000.0,90.9,5819.46,2150.66,11790.72,21.5,134923619,141730219,0.0007069060893120345,0.00038239695085021754,0,0,6.441432890173529,115265,547,0,602112,51091900,818188,630.21,286.23,0.02,0.08
29-5-2021 17:3:52,1622322232.034881,1000.0,99.3,5832.28,2156.32,11791.86,21.2,135259022,141899862,0.0006707088390191584,0.0003392368570875248,0,0,6.525635294381811,116283,549,0,602112,51168418,820394,635.91,289.72,0.02,0.08
29-5-2021 17:3:57,1622322237.0379963,1000.0,86.4,5844.29,2161.63,11794.28,21.3,135516437,142061100,0.0005145094423878555,0.0003222752111249657,0,0,6.520838308929945,117301,551,0,602112,51244935,822600,641.2,292.55,0.02,0.08
29-5-2021 17:4:2,1622322242.0455775,1000.0,99.0,5856.53,2167.36,11795.87,21.4,135806970,142231349,0.0005801862943902483,0.00033998250261982414,0,0,6.548497522918363,118321,554,0,602112,51322568,825909,647.04,295.77,0.02,0.08
29-5-2021 17:4:7,1622322247.0461454,1000.0,97.6,5870.11,2173.17,11796.6,21.4,136111276,142408746,0.0006085428801107204,0.00035475370614776404,0,0,6.521552753571713,119339,556,0,602112,51399066,828115,653.94,299.45,0.02,0.08
