time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
27-5-2021 15:2:23,1622142143.174723,1000.0,57.0,4865.9,2643.41,9486.38,24.0,95308170,127128348,0.00026662074333340846,0.0003472601076104644,0,0,59116,405,0,602112,46904794,661598,259.17,159.16,0.02,0.07,6.4171417723534425
27-5-2021 15:2:28,1622142148.1776025,1000.0,94.8,4876.33,2649.6,9489.59,24.1,95440078,127300283,0.000263664149509536,0.0003436720710337665,0,0,60152,407,0,602112,46983834,663804,264.95,164.33,0.02,0.07,6.503283383446521
27-5-2021 15:2:33,1622142153.181172,1000.0,58.0,4884.49,2653.64,9496.65,24.2,95601707,128991067,0.0003230273994904627,0.003379155712279866,0,0,61188,409,0,602112,47062871,666010,268.14,166.52,0.02,0.07,6.558805938463863
27-5-2021 15:2:38,1622142158.1848824,1000.0,88.3,4894.66,2660.1,9499.59,24.0,95730360,129162762,0.0002571151943850415,0.0003431353586775256,0,0,62222,410,0,602112,47140839,667113,273.6,171.92,0.02,0.07,6.525737357902065
27-5-2021 15:2:43,1622142163.1915104,1000.0,62.4,4904.19,2664.48,9505.01,24.1,95863926,129333705,0.00026677835666297765,0.00034143339340131015,0,0,63260,413,0,602112,47221019,670422,279.22,175.41,0.02,0.07,6.4037714512003685
27-5-2021 15:2:48,1622142168.1951945,1000.0,33.6,4912.84,2668.8,9511.3,24.3,95991658,129492265,0.00025527591046864694,0.00031688651523430824,0,0,64296,415,0,602112,47300110,672628,283.29,178.37,0.02,0.07,6.524512595659035
27-5-2021 15:2:53,1622142173.1987216,1000.0,63.6,4922.3,2673.7,9516.35,24.1,96123828,129656081,0.000264153657321624,0.00032740104053718055,0,0,65332,417,0,602112,47379199,674834,288.52,182.2,0.02,0.07,6.554111016532249
27-5-2021 15:2:58,1622142178.2030208,1000.0,87.9,4932.09,2679.85,9520.04,24.0,96251649,129822700,0.00025542237946955706,0.00033295171720482646,0,0,66366,418,0,602112,47457157,675937,294.35,187.68,0.02,0.07,6.527064183665346
27-5-2021 15:3:3,1622142183.2066462,1000.0,77.2,4941.46,2684.84,9525.19,24.1,96379744,129982667,0.0002560043767093543,0.00031970219078859656,0,0,67397,420,0,602112,47535928,678143,299.39,191.7,0.02,0.07,6.527166247185598
27-5-2021 15:3:8,1622142188.2111545,1000.0,52.6,4950.95,2689.81,9530.14,24.2,96514364,130157965,0.0002689974580700566,0.00035028016940101607,0,0,68430,423,0,602112,47615763,681452,304.71,195.5,0.02,0.07,6.406527166247186
