time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
29-5-2021 17:46:39,1622324799.1317527,1000.0,88.2,1104.96,426.95,844.39,20.0,30759689,19598730,0.0005863525229682685,0.00038006093078412934,0,0,78608,492,4210688,602112,48292731,757482,6.432145109830555,472.44,206.08,0.02,0.11
29-5-2021 17:46:44,1622324804.1422827,1000.0,92.9,1118.15,432.83,845.19,20.1,31050102,19782234,0.0005796053517130015,0.0003662367058662753,0,0,79629,495,4210688,602112,48369799,760791,6.3628439795791305,479.41,209.57,0.02,0.11
29-5-2021 17:46:49,1622324809.1453335,1000.0,96.0,1131.68,438.15,846.15,19.9,31418829,19964058,0.0007370043088409457,0.0003634262515375769,0,0,80650,498,4210688,602112,48446879,764100,6.491750205657993,485.38,212.55,0.02,0.11
29-5-2021 17:46:54,1622324814.1480553,1000.0,89.2,1144.73,443.53,847.42,20.0,31813605,20148958,0.0007891224354418276,0.0003695988061918504,0,0,81663,500,4210688,602112,48522549,766306,6.398464148147241,491.95,215.1,0.02,0.11
29-5-2021 17:46:59,1622324819.1514955,1000.0,93.9,1157.75,448.69,848.99,20.0,32114615,20318677,0.0006016060779715037,0.00033920461761152666,0,0,82676,502,4210688,602112,48598202,768512,6.493791476063042,498.92,218.26,0.02,0.11
29-5-2021 17:47:4,1622324824.1557808,1000.0,97.3,1170.68,454.76,849.89,20.1,32433007,20503578,0.0006362387007366638,0.0003694853262798998,0,0,83685,505,4210688,602112,48674643,771821,6.492158459739003,504.26,221.02,0.02,0.11
29-5-2021 17:47:9,1622324829.1574466,1000.0,89.7,1183.75,460.05,851.11,19.9,32755460,20675664,0.0006446912107291524,0.0003440573717395618,0,0,84692,507,4210688,602112,48749979,774027,6.487463537807389,511.47,224.01,0.02,0.11
29-5-2021 17:47:14,1622324834.1645699,1000.0,89.6,1197.15,465.34,852.38,20.1,33128035,20873682,0.0007440899349695642,0.0003954725914052289,0,0,85701,510,4210688,602112,48826422,777336,6.3982600211067355,517.76,226.54,0.02,0.11
29-5-2021 17:47:19,1622324839.1676388,1000.0,94.1,1210.49,470.89,853.2,20.1,33515918,21068731,0.0007752901387049956,0.00038985871065313685,0,0,86710,513,4210688,602112,48902835,780645,6.396933195343454,524.58,229.83,0.02,0.11
29-5-2021 17:47:24,1622324844.170911,1000.0,99.5,1224.23,476.16,854.05,20.0,33937530,21248142,0.0008426725053951003,0.00035858731930172845,0,0,87719,516,4210688,602112,48979261,783954,6.489708935252944,530.68,233.04,0.02,0.11
29-5-2021 17:47:29,1622324849.18163,1000.0,90.3,1237.09,481.86,855.32,20.1,34304701,21433904,0.0007327711113079936,0.00037072924380954794,0,0,88726,518,4210688,602112,49054595,786160,6.45021035291524,537.29,236.04,0.02,0.11
29-5-2021 17:47:34,1622324854.185252,1000.0,89.0,1250.08,487.61,856.37,20.1,34541536,21624883,0.00047332711662503396,0.00038168150571466365,0,0,89735,521,4210688,602112,49131049,789467,6.491954332698498,544.07,239.46,0.02,0.11
29-5-2021 17:47:39,1622324859.1897674,1000.0,99.3,1263.33,493.18,857.41,19.9,34864118,21811959,0.0006445818897662029,0.0003738144149701538,0,0,90744,524,4210688,602112,49207505,792776,6.433267808553331,550.33,241.9,0.02,0.11
29-5-2021 17:47:44,1622324864.193679,1000.0,99.0,1276.53,498.62,858.43,20.0,35244292,21997666,0.0007597536092516426,0.0003711236526256261,0,0,91753,527,4210688,602112,49283943,796085,6.513183544911011,556.5,244.82,0.02,0.11
29-5-2021 17:47:49,1622324869.2016995,1000.0,89.5,1289.82,503.77,859.85,20.0,35612851,22182634,0.0007359374972321087,0.00036934354333506623,0,0,92760,529,4210688,602112,49359275,798291,6.388359859642247,563.15,247.44,0.02,0.11
29-5-2021 17:47:54,1622324874.2075174,1000.0,94.2,1302.58,509.52,861.29,19.9,35834884,22348793,0.00044354989508534087,0.0003319317714821002,0,0,93767,531,4210688,602112,49434619,800497,6.500731795440211,569.54,250.9,0.02,0.11
29-5-2021 17:47:59,1622324879.209878,1000.0,98.5,1314.92,514.74,863.43,20.0,36068901,22510906,0.0004678131377126459,0.0003240729997992033,0,0,94776,534,4210688,602112,49511102,803806,6.491546078617488,575.22,253.65,0.02,0.11
29-5-2021 17:48:4,1622324884.2174695,1000.0,96.3,1328.52,520.3,864.39,20.1,36539758,22812619,0.0009402863658478279,0.0006025112089212769,0,0,95785,537,4210688,602112,49587601,807115,6.4951183018263245,581.93,256.52,0.02,0.11
29-5-2021 17:48:9,1622324889.2313619,1000.0,98.3,1342.04,525.8,865.16,20.1,36919327,23011391,0.000757034592679936,0.0003964424915000336,0,0,96794,540,4210688,602112,49664049,810424,6.501854494162987,588.47,259.65,0.02,0.11
