time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
23-6-2021 13:7:34,1624468054.1752658,1000.0,92.9,777.15,252.33,1126.5,22.4,62416187,27032516,0.0013989636451234968,0.0004100924107017437,59.4,0,0,274.3,114.64,0.02,0.06,6.465111626872099,55089,364,174555136,471040,46572281,577260
23-6-2021 13:7:39,1624468059.176235,1000.0,97.7,790.41,257.45,1128.01,22.4,63351867,27228722,0.0018709973365319728,0.00039233595183352455,60.374,0,0,280.37,118.03,0.02,0.06,6.4789922656264345,56136,365,174555136,471040,46650380,578361
23-6-2021 13:7:44,1624468064.1799276,1000.0,83.3,800.76,261.79,1133.09,22.4,63853398,27399325,0.0010023217599307152,0.00034095419666872,58.913,0,0,285.21,120.93,0.02,0.06,6.471439565127753,57189,369,174555136,471040,46731797,582773
23-6-2021 13:7:49,1624468069.1815262,1000.0,94.7,814.47,266.86,1134.04,22.3,64863280,28123846,0.002019118448833493,0.001448578861359338,60.374,0,0,292.25,123.91,0.02,0.06,6.439799873849489,58242,373,174555136,471040,46813192,587185
23-6-2021 13:7:54,1624468074.2094588,1000.0,94.8,828.17,272.11,1135.1,22.4,65885170,29249751,0.0020324257948080007,0.002239300085628886,59.887,0,0,298.86,127.15,0.02,0.06,6.3468200068994935,59293,376,174555136,471040,46893529,590494
23-6-2021 13:7:59,1624468079.2150614,1000.0,92.9,841.89,276.98,1136.32,22.3,66914110,29449080,0.002055576685955845,0.0003982117958626282,61.348,0,0,305.54,130.58,0.02,0.06,6.415814946590159,60342,378,174555136,471040,46972768,592698
23-6-2021 13:8:4,1624468084.2185152,1000.0,95.8,855.62,282.1,1137.39,22.4,67994554,29651631,0.0021593964049071556,0.00040482237044247487,59.4,0,0,312.28,134.14,0.02,0.06,6.466846706716392,61393,381,174555136,471040,47053085,596007
23-6-2021 13:8:9,1624468089.2216558,1000.0,98.0,867.92,287.08,1140.01,22.3,69038758,29842609,0.0020870970159134567,0.0003817162296879921,61.348,0,0,317.41,137.21,0.02,0.06,6.460824959021497,62442,383,174555136,471040,47132325,598213
23-6-2021 13:8:14,1624468094.226344,1000.0,90.8,881.27,292.32,1141.38,22.4,70087886,30060116,0.0020962904078740867,0.0004346064900998438,60.861,0,0,323.68,140.26,0.02,0.06,6.433369872073584,63495,387,174555136,471040,47213734,602625
23-6-2021 13:8:19,1624468099.2302682,1000.0,98.2,895.22,297.49,1142.09,22.4,71327229,30787097,0.002476742187645604,0.001452821787283092,60.861,0,0,330.94,144.17,0.02,0.06,6.464805436311343,64546,390,174555136,471040,47294036,605934
23-6-2021 13:8:24,1624468104.2314892,1000.0,96.2,907.25,302.72,1144.4,22.4,77229319,31088862,0.011801298260937012,0.0006033826610084999,59.887,0,0,336.08,146.66,0.02,0.06,6.340390005123589,65597,393,174555136,471040,47374378,609243
23-6-2021 13:8:29,1624468109.2348845,1000.0,93.5,920.45,308.01,1145.63,22.4,82632950,31384715,0.010799928159776527,0.0005913044665437674,61.348,0,0,342.52,150.16,0.02,0.06,6.452557813881047,66650,397,174555136,471040,47455813,613655
23-6-2021 13:8:34,1624468114.242172,1000.0,89.9,932.54,312.89,1148.35,22.5,88332528,31675237,0.011382565904982963,0.0005801983606237971,61.835,0,0,348.31,153.05,0.02,0.06,6.460620831980991,67699,399,174555136,471040,47535051,615861
23-6-2021 13:8:39,1624468119.2849007,1000.0,89.7,944.41,317.32,1151.78,22.4,93247729,31948560,0.009747105840852732,0.000542014092554789,60.374,0,0,353.31,155.21,0.02,0.06,6.454905274846853,68744,402,174555136,471040,47615050,619170
23-6-2021 13:8:44,1624468124.2883005,1000.0,97.0,956.56,322.45,1154.18,22.4,93910110,32136679,0.0013238618139635506,0.00037598234336584104,61.348,0,0,359.6,158.95,0.02,0.06,6.441739080734286,69791,406,174555136,471040,47696184,623582
23-6-2021 13:8:49,1624468129.297538,1000.0,91.2,969.82,327.88,1155.41,22.4,94879339,32855088,0.0019348832923411486,0.001434168365956355,61.348,0,0,365.91,162.47,0.02,0.06,6.3694781083955405,70841,409,174555136,471040,47776521,626891
23-6-2021 13:8:54,1624468134.3031056,1000.0,93.8,983.8,333.13,1156.18,22.5,95861196,33061757,0.001961529816675234,0.00041287825587886414,61.348,0,0,373.31,165.75,0.02,0.06,6.360904772694334,71885,412,174555136,471040,47856574,630200
23-6-2021 13:8:59,1624468139.3066123,1000.0,99.5,997.03,338.07,1157.91,22.5,96841254,34185589,0.0019587422711847026,0.0022460887458803937,61.348,0,0,379.1,168.74,0.02,0.06,6.462560038865789,72929,415,174555136,471040,47936604,633509
23-6-2021 13:9:4,1624468144.3136127,1000.0,95.0,1010.99,342.95,1158.87,22.6,97844741,34393281,0.0020041679859198296,0.00041480323843922365,61.348,0,0,386.58,172.11,0.02,0.06,6.366110012227209,73973,418,174555136,471040,48016612,636818
23-6-2021 13:9:9,1624468149.321527,1000.0,96.3,1024.42,348.3,1160.08,22.7,98916407,34693386,0.0021399447650034768,0.0005992614524500809,61.835,0,0,392.94,175.41,0.02,0.06,6.4304100299862625,75017,421,174555136,471040,48096631,640125
23-6-2021 13:9:14,1624468154.3249261,1000.0,99.5,1038.76,353.48,1160.47,22.5,99868554,34913068,0.0019030002895237092,0.0004390655115262113,62.322,0,0,400.25,178.96,0.02,0.06,6.46429511871008,76063,425,174555136,471040,48177770,644537
