time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,gpu,gpu_mem,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel
27-5-2021 13:23:17,1622136197.9512217,1000.0,94.7,6091.37,2510.9,12198.98,28.3,126585514,206415032,0.0002855957006848491,0.0004155556446503982,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:22,1622136202.9546058,1000.0,98.0,6102.98,2517.01,12201.17,28.4,126733302,206619554,0.00029537608277326185,0.0004087673370026867,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:27,1622136207.9604921,1000.0,79.4,6114.27,2522.36,12204.12,28.5,126876643,206815068,0.00028634489667348997,0.0003905681984095319,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:32,1622136212.9798646,1000.0,85.2,6125.9,2527.74,12206.9,28.5,127016808,207003614,0.0002792480554629048,0.0003756365987608094,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:37,1622136217.986978,1000.0,87.4,6138.53,2533.9,12207.96,28.4,127162411,207214421,0.00029079229232245764,0.00042101502556692055,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:42,1622136222.9904258,1000.0,97.3,6150.21,2539.35,12210.53,28.5,127314322,208107310,0.00030361264262271083,0.001784547457779553,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:47,1622136227.994469,1000.0,93.8,6162.99,2545.35,12211.79,28.2,127455735,208313333,0.00028259748589297423,0.00041171308038248416,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:52,1622136232.9967194,1000.0,89.3,6174.91,2551.22,12214.01,28.3,127608781,208540953,0.0003059542940739744,0.00045503519475921,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:23:58,1622136238.00221,1000.0,84.0,6187.01,2556.98,12216.53,28.5,127769237,209462594,0.00032055999041656,0.0018412600970204218,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
27-5-2021 13:24:3,1622136243.0056329,1000.0,78.6,6198.91,2563.04,12218.46,28.4,127913317,209670654,0.00028796286203335703,0.0004158353211733777,0,0,1.83,0.36,0.0,0.0,2042,16,299008,36864,7914799,25395,0.8436570584068701
