time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel
22-6-2021 22:26:18,1624415178.034656,1000.0,26.3,926.49,340.43,3376.81,19.1,19981117,30411965,0.00028925652863135884,0.00036338126197021285,64.757,0,0,6.329265081416071,436.93,213.58,0.04,0.06,65706,441,173494272,475136,47361282,664314
22-6-2021 22:26:23,1624415183.0379102,1000.0,97.7,934.07,342.91,3386.61,19.1,20108893,30575572,0.0002553857859824717,0.0003270011761773279,64.27,0,0,6.451230988117765,440.35,215.83,0.04,0.06,66715,443,173494272,475136,47435723,666520
22-6-2021 22:26:28,1624415188.0477386,1000.0,98.2,947.23,348.08,3388.17,19.2,20251866,30791002,0.0002853850284049065,0.00043001473473501295,66.218,0,0,6.452353686840542,448.46,220.08,0.04,0.06,67726,446,173494272,475136,47511257,669829
22-6-2021 22:26:33,1624415193.0512116,1000.0,91.4,959.74,353.01,3390.6,19.2,20395771,30987880,0.000287610223439939,0.0003934826835093174,65.731,0,0,6.34661587985899,456.32,223.84,0.04,0.06,68737,449,173494272,475136,47586767,673138
22-6-2021 22:26:38,1624415198.0547183,1000.0,80.1,971.62,357.99,3393.57,19.3,20538136,31173706,0.000284530449664418,0.00037139153120036624,65.244,0,0,6.485218140361836,462.78,227.7,0.04,0.06,69743,452,173494272,475136,47661967,676447
22-6-2021 22:26:43,1624415203.0572422,1000.0,87.1,984.5,362.76,3395.78,19.2,20679827,31370383,0.00028323902665633276,0.0003931555430174645,65.244,0,0,6.465417817432857,470.65,231.74,0.04,0.06,70751,456,173494272,475136,47738322,680859
22-6-2021 22:26:48,1624415208.0611985,1000.0,97.8,997.91,367.57,3397.47,19.2,20826348,31567975,0.00029281030986586025,0.00039487155252158435,66.218,0,0,6.396014623661182,479.09,235.86,0.04,0.06,71757,459,173494272,475136,47813515,684168
22-6-2021 22:26:53,1624415213.0648015,1000.0,90.5,1010.67,373.17,3398.95,19.3,20972852,31772464,0.00029279701155287803,0.0004086835041735139,66.705,0,0,6.3556995331614585,487.29,240.19,0.04,0.06,72763,462,173494272,475136,47888728,687477
22-6-2021 22:26:58,1624415218.0677302,1000.0,86.2,1023.29,378.74,3400.64,19.2,21121867,31981166,0.00029785553208560276,0.0004171596500844175,66.218,0,0,6.350596357148835,495.07,245.11,0.04,0.06,73771,466,173494272,475136,47965033,691889
22-6-2021 22:27:3,1624415223.082958,1000.0,73.2,1034.22,384.45,3403.95,19.3,21262975,32164894,0.00028135910426761756,0.00036634028906143407,65.244,0,0,6.4713375016075005,500.8,249.4,0.04,0.06,74777,469,173494272,475136,48040250,695198
22-6-2021 22:27:8,1624415228.086744,1000.0,98.8,1047.29,389.56,3405.61,19.3,21411112,32378111,0.0002960498259184082,0.0004261113410751213,67.192,0,0,6.4618455942240205,509.32,253.91,0.04,0.06,75789,475,173494272,475136,48118794,701812
