time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,memory_percent_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel
11-6-2021 19:41:57,1623454917.057963,600.0,96.0,7360.81,2503.42,3676.79,49.0,117582612,136137132,0.0014690492158163713,0.0003146357759287983,65.244,0,0,70455,361,1146880,471040,45166284,582210,13.196325052843061,426.78,146.3,0.02,0.17
11-6-2021 19:42:2,1623454922.065172,600.0,83.7,7374.85,2508.23,3677.72,48.8,118174016,136298225,0.0011811050679312212,0.0003217221369964427,65.244,0,0,71500,362,1146880,471040,45245049,583375,13.059037733084988,432.81,148.86,0.02,0.17
11-6-2021 19:42:7,1623454927.0772579,600.0,94.5,7389.0,2513.25,3678.37,48.9,118841039,136463764,0.0013308291425241073,0.0003302796536615652,65.731,0,0,72547,364,1146880,471040,45324981,585705,13.096498754787266,438.27,151.61,0.02,0.17
11-6-2021 19:42:12,1623454932.0797637,600.0,98.0,7403.59,2518.23,3678.75,49.1,119600701,136627280,0.0015185629632823898,0.0003268681880942883,65.731,0,0,73589,366,1146880,471040,45404624,588035,13.304313249482034,443.71,154.18,0.02,0.17
11-6-2021 19:42:17,1623454937.0824137,600.0,96.8,7418.13,2522.21,3679.89,48.8,120181944,136764055,0.001161870203562136,0.00027340509406945313,65.244,0,0,74629,367,1146880,471040,45483019,589200,13.226252014314715,449.79,156.92,0.02,0.17
11-6-2021 19:42:22,1623454942.1021147,600.0,98.2,7432.51,2527.32,3680.29,48.5,120925303,137434173,0.0014808830235176415,0.0013349759267777682,65.731,0,0,75669,368,1146880,471040,45561479,590365,13.217462277378983,455.19,159.59,0.02,0.17
11-6-2021 19:42:27,1623454947.1053612,600.0,99.0,7447.02,2532.1,3680.81,49.1,121737865,137686350,0.0016240694768149477,0.0005040267308276329,65.244,0,0,76711,370,1146880,471040,45641091,592695,13.2224849841994,461.45,162.44,0.02,0.17
11-6-2021 19:42:32,1623454952.1075878,600.0,92.6,7461.34,2536.81,3681.49,49.1,122479062,137851295,0.0014817341567797582,0.00032974315936254087,65.731,0,0,77753,372,1146880,471040,45720702,595025,13.226252014314715,466.99,164.53,0.02,0.17
11-6-2021 19:42:37,1623454957.1145337,600.0,96.5,7475.68,2541.86,3681.94,48.8,123202878,138011971,0.001445623783252835,0.00032090620682318784,65.244,0,0,78795,374,1146880,471040,45800325,597355,13.235460310152147,472.67,167.46,0.02,0.17
11-6-2021 19:42:42,1623454962.1644719,600.0,97.2,7490.66,2546.59,3682.39,48.6,123950283,138175333,0.0014800280124579717,0.0003234930675753563,65.731,0,0,79831,376,1146880,471040,45879649,599685,13.239645899169162,478.8,169.73,0.02,0.17
11-6-2021 19:42:47,1623454967.1673996,600.0,95.5,7504.76,2551.73,3682.88,48.7,124675553,138337825,0.001449691124619945,0.00032479381502301775,64.757,0,0,80871,377,1146880,471040,45958102,600850,13.243203649833625,484.51,172.72,0.02,0.17
11-6-2021 19:42:52,1623454972.1750124,600.0,92.5,7518.73,2556.94,3683.54,48.9,125410059,139016006,0.0014667787691184067,0.0013543000226267589,65.731,0,0,81917,381,1146880,471040,46040052,605510,13.038528346901618,489.94,175.01,0.02,0.17
11-6-2021 19:42:57,1623454977.183974,600.0,98.0,7532.98,2562.19,3684.03,49.0,126125664,139181974,0.0014286493809827624,0.00033134212374556787,65.244,0,0,82959,383,1146880,471040,46119670,607840,13.203859113073687,495.71,177.63,0.02,0.17
11-6-2021 19:43:2,1623454982.1896174,600.0,99.5,7546.97,2567.68,3684.73,49.1,126785101,140320665,0.0013173871000205285,0.0022748144770606982,64.757,0,0,83999,384,1146880,471040,46198136,609005,13.227298411568968,500.97,180.55,0.02,0.17
11-6-2021 19:43:7,1623454987.1986375,600.0,99.3,7561.21,2572.4,3685.41,48.9,127449365,140477981,0.0013261356274303165,0.00031406542032208224,65.731,0,0,85041,386,1146880,471040,46277739,611333,13.226879852667267,507.28,183.17,0.02,0.17
11-6-2021 19:43:12,1623454992.1997848,600.0,99.8,7575.63,2577.15,3686.14,48.9,128149442,140634045,0.001399832802707356,0.00031205639739874445,65.731,0,0,86091,387,1146880,471040,46356820,612498,13.24236653203022,513.35,186.37,0.02,0.17
11-6-2021 19:43:17,1623454997.239629,600.0,92.5,7589.17,2582.31,3687.55,49.1,128718091,140790575,0.0011283066877181638,0.00031058499325334994,64.757,0,0,87143,389,1146880,471040,46437068,614828,13.051922231756063,518.8,188.41,0.02,0.17
11-6-2021 19:43:22,1623455002.2479239,600.0,96.5,7603.72,2587.31,3687.94,49.2,129452708,141466012,0.0014668006303286665,0.001348636660119904,65.244,0,0,88193,390,1146880,471040,46516149,615993,13.048573760542453,525.13,191.22,0.02,0.17
11-6-2021 19:43:27,1623455007.2537236,600.0,96.1,7618.47,2592.2,3688.35,49.5,130203512,141630286,0.00149986822175015,0.00032816734095687306,64.757,0,0,89245,392,1146880,471040,46596379,618323,13.04145825921353,531.39,193.83,0.02,0.17
11-6-2021 19:43:32,1623455012.2788587,600.0,94.9,7632.94,2597.25,3688.82,49.2,130917077,141787485,0.0014199916903323367,0.0003128254240728637,65.731,0,0,90297,394,1146880,471040,46676658,620653,13.163049620157796,537.96,196.45,0.02,0.17
11-6-2021 19:43:37,1623455017.280013,600.0,91.8,7646.21,2603.17,3689.54,49.1,131623897,141957515,0.0014133136877023766,0.00033998150352287015,65.731,0,0,91353,398,1146880,471040,46759236,625313,13.097963710943223,544.0,199.07,0.02,0.17
11-6-2021 19:43:42,1623455022.2864144,600.0,99.0,7659.76,2609.2,3689.91,49.2,132336437,142111201,0.001423257859769966,0.0003069789870556137,65.731,0,0,92405,400,1146880,471040,46839503,627643,13.06552539606136,550.47,202.19,0.02,0.17
11-6-2021 19:43:47,1623455027.3145995,600.0,100.0,7673.66,2614.97,3690.26,49.3,133136724,142268892,0.001591602097858309,0.00031361414894078574,66.218,0,0,93451,402,1146880,471040,46919442,629973,13.321055605550091,555.85,204.69,0.02,0.17
11-6-2021 19:43:52,1623455032.330074,600.0,98.3,7687.31,2621.09,3690.59,49.2,133878716,142939833,0.0014794053711921107,0.0013377418073955056,65.731,0,0,94497,404,1146880,471040,46999342,632301,13.201347759663479,562.41,207.64,0.02,0.17
