time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,gpu,gpu_mem,io_counters_read_count_ipykernel,io_counters_write_count_ipykernel,io_counters_read_bytes_ipykernel,io_counters_write_bytes_ipykernel,io_counters_read_chars_ipykernel,io_counters_write_chars_ipykernel,cpu_times_user_ipykernel,cpu_times_system_ipykernel,cpu_times_children_user_ipykernel,cpu_times_children_system_ipykernel,memory_percent_ipykernel
14-6-2021 19:15:29,1623712529.8108573,1500.0,76.6,724.3,309.8,2085.94,12.3,41689427,29759714,0.0017066869347792388,0.000912503220797962,65.731,0,0,62638,396,3731456,548864,44547156,657808,253.55,163.01,0.02,0.07,3.124147475038069
14-6-2021 19:15:34,1623712534.814752,1500.0,68.1,734.5,314.98,2090.94,12.2,42468285,30184328,0.0015565035441600134,0.0008485669992475648,66.705,0,0,63677,398,3731456,548864,44625458,660138,258.91,167.28,0.02,0.07,3.1253875113463323
14-6-2021 19:15:39,1623712539.8157706,1000.0,48.3,743.01,319.2,2098.25,12.3,43144933,30351172,0.0013530203832074613,0.000333620039985141,65.731,0,0,64716,400,3731456,548864,44703753,662468,262.73,170.1,0.02,0.07,3.124990699727688
14-6-2021 19:15:44,1623712544.8196428,1500.0,75.4,752.9,324.47,2103.39,12.4,43990682,30613468,0.0016901890648059123,0.0005241860539502046,66.705,0,0,65755,402,3731456,548864,44782069,664798,268.05,173.91,0.02,0.07,3.1236018590624335
14-6-2021 19:15:49,1623712549.8217077,1500.0,82.8,762.25,329.0,2109.54,12.3,44723407,30782037,0.0014648450356076527,0.00033699882330662446,67.679,0,0,66792,403,3731456,548864,44859219,665963,272.95,177.49,0.02,0.07,3.1272723665348923
14-6-2021 19:15:54,1623712554.8254874,1500.0,60.9,771.55,333.39,2115.57,12.2,45580133,31533293,0.0017121577286990611,0.001501377064115647,66.705,0,0,67839,406,3731456,548864,44938997,669456,277.8,180.72,0.02,0.07,3.0719667471863574
14-6-2021 19:15:59,1623712559.8292806,1500.0,89.3,780.98,339.63,2120.0,12.3,46405327,32014477,0.0016491368857339847,0.0009616384549875806,67.679,0,0,68884,408,3731456,548864,45017614,671786,282.84,185.39,0.02,0.07,3.1257843229649764
14-6-2021 19:16:4,1623712564.830697,1500.0,56.3,790.75,343.92,2125.85,12.3,47232697,32412890,0.0016542713631930957,0.0007966003319238682,67.679,0,0,69931,411,3731456,548864,45097395,675281,287.95,188.65,0.02,0.07,3.0710739210444085
14-6-2021 19:16:9,1623712569.8344054,1500.0,66.2,800.48,349.13,2130.7,12.4,48146189,32613079,0.0018256299804193762,0.0004000812707173949,67.192,0,0,70978,414,3731456,548864,45177197,678776,292.91,192.54,0.02,0.07,3.123949069228747
14-6-2021 19:16:14,1623712574.8382492,1500.0,84.1,810.87,354.3,2135.12,12.3,48981061,32800790,0.0016684613588739507,0.0003751336134588154,67.192,0,0,72023,416,3731456,548864,45255800,681106,298.91,196.72,0.02,0.07,3.1275699752488757
14-6-2021 19:16:19,1623712579.8467042,1500.0,47.7,820.17,359.31,2140.85,12.3,49847911,32993933,0.0017307732492571636,0.0003856338901554783,66.705,0,0,73070,419,3731456,548864,45335588,684601,304.02,200.29,0.02,0.07,3.113731170048659
14-6-2021 19:16:24,1623712584.8504858,1500.0,74.5,830.26,365.0,2144.89,12.3,50780009,33196186,0.0018627871528095858,0.00040420029869948996,66.705,0,0,74117,422,3731456,548864,45415366,688096,309.05,204.72,0.02,0.07,3.126230736035951
14-6-2021 19:16:29,1623712589.8507185,1500.0,68.7,840.03,369.84,2150.14,12.3,51577932,33644142,0.0015957717338899481,0.0008958703068170809,66.218,0,0,75162,424,3731456,548864,45493984,690426,314.21,208.52,0.02,0.07,3.147708164895068
14-6-2021 19:16:34,1623712594.8554678,1500.0,71.0,851.48,374.28,2154.16,12.6,52406425,34052014,0.001655413589478378,0.0008149698930078165,67.679,0,0,76207,426,3731456,548864,45572619,692756,319.4,211.51,0.02,0.07,3.1112014959798024
14-6-2021 19:16:39,1623712599.8591413,1500.0,75.3,860.53,378.57,2160.67,12.6,53046799,34768064,0.0012798077115888519,0.0014310485932957887,67.679,0,0,77250,427,3731456,548864,45650073,693921,323.66,214.71,0.02,0.07,3.129107620271122
14-6-2021 19:16:44,1623712604.860575,1500.0,86.9,870.01,384.04,2165.7,12.3,53847892,34949163,0.0016017267494094754,0.00036209417956630077,68.166,0,0,78295,429,3731456,548864,45728679,696251,327.98,218.96,0.02,0.07,3.1304964609363766
14-6-2021 19:16:49,1623712609.8643758,1500.0,91.8,878.71,388.35,2172.48,12.3,54579840,35123539,0.0014627840299089047,0.00034848708924595077,67.192,0,0,79346,431,3731456,548864,45807629,698579,332.5,222.16,0.02,0.07,3.1274211708918838
